"","PoissonsRatio","E","ThermalExpansion","InnerRadius","OuterRadius","InnerTemp","OuterTemp","ThicknessChange","PercentThicknessChange","YieldStress","TempDiff","TempDiff_for_Yield"
"4603",0.09,109802810054,7.8e-06,0.699063417862635,1.60960449312115,51.3540074112825,159.433105087373,0.000940627865532682,0.103304276005959,144818039,108.079097676091,206.13
"4604",0.22,239856808947,9.02e-06,0.949974268313963,1.14877966091735,153.017279837513,342.718716716864,0.000466007776386884,0.234403991906072,295870607,189.701436879351,189.7
"4605",0.29,78255499064,1.885e-05,0.314541267545428,0.878882156743202,111.341850186,175.027088446286,0.00172150424846608,0.305046875287247,104401885,63.6852382602866,63.69
"4606",0.12,93486709259,2.553e-05,0.224119816585444,0.447631905954331,191.767683351645,292.161899426468,0.00150347942375538,0.67266134373341,194392494,100.394216074823,100.39
"4607",0.35,295616812059,2.922e-05,0.323989843903109,0.783697788603604,132.814913766924,149.710413695999,0.0019571456513717,0.425736747414014,170891144,16.8954999290751,16.9
"4608",0.33,275849595005,8.89e-06,0.781487112999894,1.05198235238902,153.580956114456,312.427995025908,0.000597498531177485,0.220890590358204,349940572,158.847038911452,158.85
"4609",0.44,173997716578,1.601e-05,0.367191443559714,0.613883987409063,144.038445601473,183.967853498526,0.000673505756393213,0.27301423297354,131976245,39.9294078970537,39.93
"4610",0.08,222481335162,1.675e-05,0.279444282369222,0.875358015608508,123.187010345282,237.207634222441,0.00215832051220669,0.362186738082781,374922500,114.020623877159,114.02
"4611",0.04,123051743100,9.51e-06,0.725229701723438,1.56495399672771,124.618213047506,299.421652132878,0.00201892773401603,0.240427452918432,279604900,174.803439085372,313.23
"4612",0.19,385643634379,8.09e-06,0.711757230111398,1.06495463203639,61.2297963700257,191.823352060478,0.000410108839029703,0.116113209438839,317633321,130.593555690452,130.59
"4613",0.12,373176982778,9.35e-06,0.380112001437228,1.16791083132615,95.7942163746338,205.928254478046,0.00136482379441279,0.173245217259998,353631910,110.134038103412,110.13
"4614",0.45,200356892487,1.145e-05,0.29528255904559,1.47201078338083,43.2040564541239,126.861825552774,0.00158173240658759,0.134417818309843,307736397,83.65776909865,83.66
"4615",0.07,253562121715,2.007e-05,1.01019335745834,1.87595803754404,86.517394229304,145.307914007918,0.00221270150686789,0.255577705785924,223844499,58.7905197786137,58.79
"4616",0.46,367070012365,2.348e-05,1.16525662954897,1.28809163914062,96.3438666716684,109.353315316811,0.000297888582122624,0.242511140034839,109882567,13.0094486451425,13.01
"4617",0.05,371513972955,1.536e-05,0.458202533065341,0.860656166905537,113.736575265648,192.852172173115,0.00104409238479671,0.259431720080156,331696676,79.1155969074676,79.12
"4618",0.23,175773310887,7.01e-06,0.0685713394265622,1.00277539353818,50.7867816020735,238.080724285478,0.0015136910158222,0.162030020011169,287435129,187.293942683404,187.29
"4619",0.01,167693421796,2.923e-05,0.0752456175978295,0.77782801821595,94.1253524506465,132.59027847544,0.00268188072574569,0.381717606843868,181411579,38.4649260247934,38.46
"4620",0.17,235222147165,2.295e-05,0.035814203817863,0.840359145293478,55.3038831974845,90.3444042302653,0.00165363113347346,0.205536204160396,222150056,35.0405210327808,35.04
"4621",0.26,340753091222,5.73e-06,0.452592337999959,0.573439109472092,136.914601328317,231.930702713866,0.000132861485419859,0.109942105859647,144095328,95.0161013855491,95.02
"4622",0.48,84175871995,2.953e-05,0.987566443986725,1.62436530288542,142.74428699282,192.229113792724,0.0032976481277434,0.517847681675577,156435616,49.4848267999041,49.48
"4623",0.27,387811103945,6.47e-06,0.304268410285003,0.470414853091352,166.804091678932,329.895992131997,0.000291521922449806,0.17546082692218,357253747,163.091900453064,163.09
"4624",0.27,296321026972,2.985e-05,1.10120294552995,2.18847814989509,57.6857668056618,92.495331957131,0.0026772616801944,0.246235881168434,300870538,34.8095651514692,34.81
"4625",0.27,264300569904,1.286e-05,0.286826304229908,0.79042895832099,112.785693322076,161.528568594445,0.000979998363513534,0.194597537473718,178892722,48.7428752723696,48.74
"4626",0.32,220819694446,2.855e-05,0.109848664784804,1.22232635902707,126.794389088172,168.872857550054,0.00529868900940442,0.47629620232642,373088087,42.0784684618812,42.08
"4627",0.11,239284667724,5.78e-06,0.495447345508728,1.21938634779071,65.5368155275937,195.300326234428,0.000689393878846517,0.0952281720798884,374925187,129.763510706834,316.45
"4628",0.31,198342540707,4.37e-06,0.117856015765574,0.737367258535232,156.568806996802,290.986835418318,0.000756077432353098,0.122044182599962,152868047,134.418028421516,134.42
